method,episode,finished_filters,total_reward,invalid_actions,breakdowns,average_wip,demand_satisfaction
Random Multi-Agent,26,31,-145.30000000000004,53,12,11.67,1.0
Random Multi-Agent,27,29,-357.4000000000001,63,11,13.47,1.0
Random Multi-Agent,28,30,-424.50000000000006,42,15,19.56,0.9090909090909091
Random Multi-Agent,29,33,-390.00000000000006,50,13,17.42,0.9166666666666666
Random Multi-Agent,30,26,-950.7,33,10,29.21,0.8666666666666667
Random Multi-Agent,31,38,63.199999999999974,39,8,13.39,1.0
Random Multi-Agent,32,32,-979.4999999999998,36,9,31.62,1.0
Random Multi-Agent,33,40,145.3999999999998,31,8,13.86,1.0
Random Multi-Agent,34,28,-760.2,62,10,22.16,0.9655172413793104
Random Multi-Agent,35,42,-37.999999999999986,24,11,19.51,1.0
Random Multi-Agent,36,30,-564.0000000000001,38,10,22.55,1.0
Random Multi-Agent,37,32,-429.10000000000014,36,10,20.75,1.0
Random Multi-Agent,38,17,-1478.4999999999995,68,13,31.72,0.5666666666666667
Random Multi-Agent,39,32,-525.1,32,5,23.49,1.0
Random Multi-Agent,40,23,-804.3000000000001,48,11,21.67,0.8518518518518519
Random Multi-Agent,41,36,101.69999999999997,28,7,13.3,1.0
Random Multi-Agent,42,33,-293.6000000000001,43,9,17.5,1.0
Random Multi-Agent,43,16,-2016.3999999999996,99,9,35.92,0.5
Random Multi-Agent,44,31,-67.10000000000004,50,5,11.12,1.0
Random Multi-Agent,45,36,-77.30000000000003,38,6,14.41,1.0
Random Multi-Agent,46,40,43.40000000000004,34,8,15.55,1.0
Random Multi-Agent,47,30,-578.0,45,10,20.04,0.9090909090909091
Random Multi-Agent,48,41,39.49999999999993,19,3,18.02,1.0
Random Multi-Agent,49,31,-256.69999999999993,44,15,16.13,1.0
Random Multi-Agent,50,26,-958.6999999999997,69,8,22.26,0.7428571428571429
Random Multi-Agent,51,39,-31.30000000000009,47,10,13.88,1.0
Random Multi-Agent,52,39,80.09999999999994,32,8,15.22,1.0
Random Multi-Agent,53,26,-705.8999999999996,58,12,21.37,0.8125
Random Multi-Agent,54,32,-539.7000000000002,37,13,23.02,1.0
Random Multi-Agent,55,42,229.9,26,7,13.32,1.0
Random Multi-Agent,56,36,-271.1000000000001,72,14,14.98,0.972972972972973
Random Multi-Agent,57,31,-230.30000000000004,50,8,13.44,0.96875
Random Multi-Agent,58,35,-305.69999999999993,48,11,19.23,1.0
Random Multi-Agent,59,28,-398.5000000000002,56,5,15.87,1.0
Random Multi-Agent,60,27,-605.0999999999999,37,7,22.3,0.9642857142857143
Random Multi-Agent,61,34,-419.7999999999999,29,8,21.9,1.0
Random Multi-Agent,62,37,-375.40000000000003,28,8,22.13,1.0
Random Multi-Agent,63,33,-357.59999999999997,45,15,17.97,1.0
Random Multi-Agent,64,35,-227.20000000000005,36,6,18.52,1.0
Random Multi-Agent,65,41,164.89999999999992,29,10,13.75,1.0
Random Multi-Agent,66,39,-85.50000000000006,31,6,16.77,1.0
Random Multi-Agent,67,39,204.5999999999999,34,6,11.23,1.0
Random Multi-Agent,68,31,-472.5000000000002,44,8,19.8,1.0
Random Multi-Agent,69,33,-290.60000000000025,48,13,16.6,1.0
Random Multi-Agent,70,37,16.39999999999996,38,8,13.21,1.0
Random Multi-Agent,71,41,220.3,24,4,13.85,1.0
Random Multi-Agent,72,38,19.89999999999995,46,6,12.55,1.0
Random Multi-Agent,73,27,-1357.3000000000004,46,7,35.21,1.0
Random Multi-Agent,74,37,-48.90000000000005,46,9,13.79,1.0
Random Multi-Agent,75,37,-532.1999999999999,32,8,26.37,1.0
Random Multi-Agent,76,31,-662.5,28,12,27.34,1.0
